"classref","descr_trad_lang","descr_trad_value","id"
"200","en","The theologian John Mbiti writes: “In Africa I am because we are”. Meaning that only the sense of belonging to a concrete community gives to the individual the elements necessary to define his/her full identity.\n 
Feeling part of the eternal cosmic cycle of life, within which one spends one’s entire existence, life in Africa is under stood as a journey which – marked by specific steps (celebrated by “rites of passage”) – ends up in returning to that “world of the ances- tors and of the spirits” to which everyone  is destined.\n
This explains the reason why in all African cultures the themes of life, fertility, physical and mental health, human relationships and others have great importance and are celebrated in various ways.\n
This also explains the significance of the didactic and ethnographic journey followed by the  African Museum of the Comboni Missionaries, renewed in its content and topics described by the traditional artefacts and traditional handmade objects displayed in the windows; by monothematic exhibitions and by the photos and video-clips constantly running on the large and smaller screens set up inside the museum's halls.\n
Students have also the chance to learn and to develop  skills  by participating in didactic laboratories  organised for them in collaboration with PM - Il Piccolo Missionario, the magazine for children.\n
The African Museum has a threefold aim: to help visitors to meet, to know and to love Africa, that continent far away as well as the one present among us today in Italy. It is the hope and the desire of the curators of the Museum that the great richness of African cultures here expressed may be perceived and appreciated by all those who choose to visit the permanent exhibition.",86
"201","en","The Civic Museum of Natural History in Verona, located in the prestigious palazzo Pompei, houses a few scientific sections that deal with the study of minerals and rocks, paleontology and zoology.\n
The prehistoric and botanical sections have been moved to the Command Headquarters building at the former Austrian Arsenal. Scientific materials gathered by museum researchers as well as by many naturalists over nearly five centuries, are now meticously prepared and catalogued before being studied and conserved in the collections or put on exhibit.\n
The museum, thus, plays an active and crucial role in scientific research and in publishing essays and popular texts.\n
Undoubtedly, the museum's flagship section is the famous Bolca fossils collection which includes specimens of more than 250 species of animals and 200 species of vegetals from the Lessini mountains at 50 kilometres from Verona a telling prove of what life on Earth was like 50 million years ago, and how it evolved.",88
"202","en","The former monastery complex of S. Francesco al Corso dates back to the 13th century.\n 
In 1935 Antonio Avena, then Director of the Musei Civici of Verona, opened to the public the so-called “Juliet's tomb”, the place where a tomb was placed that according to legend held the bodies of Romeo and Juliet, making it a tourist attraction.\n
In the adjoining Frescoes Museum “G.B. Cavalcaselle” (opened in 1975), fresco cycles from buildings in Verona are exhibited from the Medieval to the 16th century, together with sculpture from the 19th century. The Church of St. Francis holds large works on canvas from the 16th to the 18th century.\n
In the underground area is a warehouse of Roman amphoras from the 1st  century A.D. coming from excavations in the area. In the courtyard there is a depository of lapidary material (sculptural and architectonic) from the medieval period to the modern age, waiting for the installation of a medieval lapidary museum.",93
"203","en","After various renovations, Palazzo della Ragione, one of the most significant and central buildings in the city, from April 12, 2014 is the new venue for the Achille Forti Gallery of Modern Art.\n
The Palazzo, which has always been the heart of the city, now for the first time hosts the city collections together with those of the Fondazione Cariverona and the Fondazione Domus.\n
This monumental group of buildings, which includes the Torre dei Lamberti, the Cappella dei Notai, and the Scala della Ragione, is now newly open to the city and its visitors. In its four magnificent rooms, hung with masterpieces from the collection, they can discover extraordinary works from 1840 to 1940 that recount the history of Verona, its collections, and their relationship with the city. Among these works are Meditazione by Francesco Hayez, and paintings by Giovanni Fattori, Angelo Morbelli, Felice Casorati , Guido Trentini, Giacomo Balla, Umberto Boccioni, Gino Rossi, Filippo de Pisis, Giorgio Morandi, as well as sculptures by Medardo Rosso, and Arturo Martini.\n
The new gallery bears the name of the great patron Achille Forti (1887-1937): a botanist of middleclass origins, this notable citizen left the greater part of his assets, the building where he lived, and his art collection to the city of Verona.\n
Thanks to various donations and an acquisitions programme which have enlarged this original nucleus, today the gallery of modern art in Palazzo della Ragione presents itself to Verona and its vast international public immensely enriched, and it confirms that it is one of the locations offering the greatest variety and quality of Italy's visual and artistic heritage.",95
"42","en","The Archeaeological Museum was founded in 1924 and hosts archaeological finds both from Verona and its surrounding areas (epigraphs, sculptures, mosaics, bronzes, etc.) as well as pieces from other collections.\n
About 600 works of art are exhibited in the museum and some 150 more can be seen displayed within the external cloister and the Theatre area whereas some thousands pieces are preserved in store-rooms.\n
The whole complex of buildings and cloisters of the former Jesuates convent is itself a monument worth visiting. Many finds, inscriptions and sarcophaguses are located in the Museum cloisters and in the Theatre external area",48
"43","en","It is an elegant I century AD construction of the Roman architect Lucio Vitruvio Cerdone, that celebrates the splendour of the gens Gavia, an important Roman family of Verona.\n
In ancient times it overlooked the Via Postumia. The arch was differently used by the Veronese until 1805 when the French troops dismantled it to enlarge the north-eastern entrance gate to the town.\n
In 1932 the monument was re-assembled on the green open space next to Castelvecchio where it can be admired today.
Classic style columns, tympanums, capitals and friezes embellish the four fronts while the niches on the two main sides of the arch originally contained marble statues – no longer extant – of important members of the gens Gavia.",20
"44","en","Its name has late medieval origins deriving from the bursarii who exacted the episcopal duties in the Middle Ages. In the Roman epoch it was called Porta Iovia from a temple entitled to Jupiter lying just outside the gate: its remains can still be seen in the Monumental Cemetery.\n
Built probably in the I century BC on the Via Postumia (its urban stretch coinciding with the Decumanus Maximu) and renovated in the I century AD, Porta Borsari was the main entrance gate to the town and its representative function was emphasized by reach ornamental decorations.\n
Porta Borsari was a rectangular building with a central courtyard and double passageways alongside the façades: only the external prospect in local white limestone remains.",33
"46","en","It stretches over the ancient ford across the Adige River with its five arcades emblematic of the dominations that had been following one after the other in Verona through the centuries.\n
The foundations of a former masonry bridge had possibly been already laid by the Romans in the I century BC; it was surely rebuilt by the Romans in the II and III centuries AD and its two surviving arches are still visible on the left-hand side.\n
In 1298 Alberto I Della Scala rebuilt the right arch and the tower, while the second tower that was on the opposite bridgehead was demolished in 1801.\n
The two central arches date back to a further reconstruction in the early XVI century. In 1945 retreating German troops made the bridge blow-up; it was thus necessary to reconstruct it by recovering some of its original stones and bricks from the Adige River where the explosion had hurled them.",47
"47","en","The theatre was built on the hills of St. Peter in the middle of Augustinian age. It was a building of spectacular grandeur which spread from the left bank of the Adige to the top of the hill and was complementing the Roman town planning system on the right bank of the river.\n
Over centuries many civil and religious buildings were erected on the theatre's ruins; in 1834 a rich Veronese merchant, Andrea Monga, bought at this own expense some of the houses that were built in the area of the theatre in order to begin archaeological excavations, which brought to light ruins of the Roman building.\n
The theatre respects the architectural canons of this building type: the seating area for spectators, divided in two sections and vertically in wedges; the semi-circular orchestra at the foot of the staircase; the stage, for the actors. During the summer the theatre hosts numerous theatrical and musical events (Estate Teatrale Veronese).\n
In 1923 the Archaeological Museum was established in the rooms of the ex-monastery of  St. Jerome, which had been built over the theatre in the late 15th century. Sacred inscriptions and tombs, mosaics, sculptures and everyday utensils from Verona and its province are exhibited there.",83
"48","en","Situated on the Cardus Maximus of the Roman street-grid it took its name, in the XV century, from a nearby sarcophagus lid bearing two lions and which is now situated behind Umberto I monument.\n
The gate was thirteen meters high (as high as the city walls), had a square plant and an internal courtyard, two fornixes on the façades and tunnel-vaults on the upper levels.\n
Two plygonal towers connecting the walls flanked the external façade and numerous windows looked onto the towers and the passage ways.",75
